C07,2020-06-20-00-20-00,36435992.5237 ,5,9,9,2,5,2,3,7
C08,2020-06-20-00-20-00,39364738.6256 ,4,7,3,8,6,2,5,6
C09,2020-06-20-00-20-00,36887447.3677 ,7,4,4,7,3,6,7,7
C10,2020-06-20-00-20-00,37095632.7427 ,5,6,3,2,7,4,2,7
C12,2020-06-20-00-20-00,24378132.8286 ,8,1,3,2,8,2,8,6
C16,2020-06-20-00-20-00,38563398.3136 ,3,3,9,8,3,1,3,6
C24,2020-06-20-00-20-00,24391902.8757 ,1,9,0,2,8,7,5,7
C26,2020-06-20-00-20-00,21567367.2978 ,7,3,6,7,2,9,7,8
C29,2020-06-20-00-20-00,25337969.2346 ,7,9,6,9,2,3,4,6
G01,2020-06-20-00-20-00,24266637.3205 ,6,6,3,7,3,2,0,5
G04,2020-06-20-00-20-00,22555185.1256 ,5,1,8,5,1,2,5,6
G07,2020-06-20-00-20-00,22741583.3207 ,1,5,8,3,3,2,0,7
G08,2020-06-20-00-20-00,20138084.7668 ,8,0,8,4,7,6,6,8
G09,2020-06-20-00-20-00,22321193.7427 ,1,1,9,3,7,4,2,7
G11,2020-06-20-00-20-00,21620215.2977 ,0,2,1,5,2,9,7,7
G16,2020-06-20-00-20-00,22532014.2977 ,2,0,1,4,2,9,7,7
G21,2020-06-20-00-20-00,24992203.5635 ,2,2,0,3,5,6,3,5
G26,2020-06-20-00-20-00,24833676.5165 ,3,6,7,6,5,1,6,5
G27,2020-06-20-00-20-00,21119274.3367 ,9,2,7,4,3,3,6,7
C01,2020-06-20-00-25-00,37732832.1646,2,8,3,2,1,6,4,6
C02,2020-06-20-00-25-00,37703382.4066,3,3,8,2,4,0,6,6
C03,2020-06-20-00-25-00,36605240.3367,5,2,4,0,3,3,6,7
C04,2020-06-20-00-25-00,38653644.8916,3,6,4,4,8,9,1,6
C05,2020-06-20-00-25-00,39695737.8915,5,7,3,7,8,9,1,5
C06,2020-06-20-00-25-00,38215224.0316,5,2,2,4,0,3,1,6
C07,2020-06-20-00-25-00,36429781.9537,9,7,8,1,9,5,3,7
C08,2020-06-20-00-25-00,39255234.0396,5,2,3,4,0,3,9,6
C09,2020-06-20-00-25-00,36971188.5477,1,1,8,8,5,4,7,7
C10,2020-06-20-00-25-00,37087678.2977,7,6,7,8,2,9,7,7
C12,2020-06-20-00-25-00,24203087.2426,3,0,8,7,2,4,2,6
C16,2020-06-20-00-25-00,38664538.1956,4,5,3,8,1,9,5,6
C24,2020-06-20-00-25-00,24252497.1887,2,4,9,7,1,8,8,7
C26,2020-06-20-00-25-00,21533509.6808,3,5,0,9,6,8,0,8
C29,2020-06-20-00-25-00,25510355.8916,0,3,5,5,8,9,1,6
G01,2020-06-20-00-25-00,24055617.8676,5,6,1,7,8,6,7,6
G04,2020-06-20-00-25-00,22715184.9536,5,1,8,4,9,5,3,6
G07,2020-06-20-00-25-00,22571228.6027,1,2,2,8,6,0,2,7
G08,2020-06-20-00-25-00,20157776.3208,7,7,7,6,3,2,0,8
G09,2020-06-20-00-25-00,22392685.2977,2,6,8,5,2,9,7,7
G11,2020-06-20-00-25-00,21467359.7427,7,3,5,9,7,4,2,7
G16,2020-06-20-00-25-00,22644351.1566,4,3,5,1,1,5,6,6
G26,2020-06-20-00-25-00,24964811.2975,4,8,1,1,2,9,7,5
G27,2020-06-20-00-25-00,21253879.8917,3,8,7,9,8,9,1,7
C01,2020-06-20-00-30-00,37733146.9456,3,1,4,6,9,4,5,6
C02,2020-06-20-00-30-00,37703068.2736,3,0,6,8,2,7,3,6
C03,2020-06-20-00-30-00,36602884.2976,2,8,8,4,2,9,7,6
C04,2020-06-20-00-30-00,38652347.1886,2,3,4,7,1,8,8,6
C05,2020-06-20-00-30-00,39695547.2195,5,5,4,7,2,1,9,5
C06,2020-06-20-00-30-00,38312036.7976,2,0,3,6,7,9,7,6
C07,2020-06-20-00-30-00,36422604.8287,2,6,0,4,8,2,8,7
C08,2020-06-20-00-30-00,39146053.0786,6,0,5,3,0,7,8,6
C09,2020-06-20-00-30-00,37057057.9847,7,0,5,7,9,8,4,7
C10,2020-06-20-00-30-00,37078737.8057,8,7,3,7,8,0,5,7
C12,2020-06-20-00-30-00,24032239.2426,2,2,3,9,2,4,2,6
C16,2020-06-20-00-30-00,38766355.3756,6,3,5,5,3,7,5,6
C24,2020-06-20-00-30-00,24113993.4067,3,9,9,3,4,0,6,7
C26,2020-06-20-00-30-00,21504900.6028,4,9,0,0,6,0,2,8
C29,2020-06-20-00-30-00,25684970.0786,4,9,7,0,0,7,8,6
G01,2020-06-20-00-30-00,23844079.1886,4,0,7,9,1,8,8,6
G04,2020-06-20-00-30-00,22879178.9386,9,1,7,8,9,3,8,6
G07,2020-06-20-00-30-00,22404189.1027,4,1,8,9,1,0,2,7
G08,2020-06-20-00-30-00,20186479.2818,6,4,7,9,2,8,1,8
G09,2020-06-20-00-30-00,22472823.7587,2,8,2,3,7,5,8,7
G11,2020-06-20-00-30-00,21321479.0477,1,4,7,9,0,4,7,7
G16,2020-06-20-00-30-00,22757633.3206,7,6,3,3,3,2,0,6
G21,2020-06-20-00-30-00,25264874.8135,4,8,7,4,8,1,3,5
G26,2020-06-20-00-30-00,25096325.2585,6,3,2,5,2,5,8,5
G27,2020-06-20-00-30-00,21394397.9537,4,3,9,7,9,5,3,7
C01,2020-06-20-00-35-00,37733477.0786,3,4,7,7,0,7,8,6
C02,2020-06-20-00-35-00,37702695.8206,2,6,9,5,8,2,0,6
